
ModelBox: 512 models
-> -0.992822384559854*x**4 + 1.07350003732825*x**2 + 0.0552963870882941*exp(-1.22270190768716*x**2), p = 6.522981580800001e-07, parse trees = 1, valid = True, error = 0.0005894341263491901, time = 92.34459638595581
-> -0.9692244868414*x**4 + 1.01127753029186*x**2 + 0.0551065707719415, p = 9.275550594827177e-05, parse trees = 11, valid = True, error = 0.0005895897251701129, time = 21.44615411758423
-> -0.962461808531945*x**4 + 1.0135915872312*x**2 - 4.61735978045041 + 4.67216178175199*exp(-0.00190839695688016*x**4), p = 1.5028949562163203e-08, parse trees = 1, valid = True, error = 0.0005895999953121915, time = 301.1356930732727
-> 2.11231659726718*x**2 - 1.31470064624294*exp(0.950924792951581*x**2) + 1.37805147896408, p = 4.6690958573568004e-05, parse trees = 11, valid = True, error = 0.0005916707589957606, time = 123.81529331207275
-> -1.21411076720381*x**4 + 2.62605320568294*exp(0.391432312395231*x**2) - 2.57188809623942, p = 8.153726976e-06, parse trees = 2, valid = True, error = 0.0005936088385352156, time = 140.32943630218506
-> -6.70166677864193 + 7.30883006240971*exp(-0.0599862673356822*x**5) - 0.554728231879865*exp(-1.91838468124869*x**2), p = 5.218385264640001e-08, parse trees = 1, valid = True, error = 0.000595910847418473, time = 664.4706530570984
-> 0.333294260976637*sqrt(x) - 1.24787540973565e-5*exp(9.99971121089607*x**2), p = 0.000196608, parse trees = 2, valid = True, error = 0.0005970975348942116, time = 345.45607924461365
-> 0.49062908280527*sqrt(x) - 0.0834216266549172*exp(1.55181969219728*x**4), p = 1.5728640000000003e-05, parse trees = 1, valid = True, error = 0.0005971153669005715, time = 128.0979504585266
-> -1.13855112788021*x**3 + 3.21326251637447 - 3.17099976508592*exp(-0.477499865567293*x**2), p = 4.4559211954176007e-07, parse trees = 3, valid = True, error = 0.0006007517024073123, time = 210.37370824813843
-> -1.49714294159536*x**3 + 1.48521858202725*x**2 + 0.095313057675978*sqrt(x**2) + 0.02880174843441, p = 2.3483287718076662e-07, parse trees = 2, valid = True, error = 0.0006030829228216692, time = 233.5117633342743
-> -1.48633565096789*x**3 + 1.46855132016541*x**2 + 0.102110970311123*x + 0.028222507617218, p = 1.998046182850332e-08, parse trees = 3, valid = True, error = 0.0006031076684056715, time = 71.55972123146057
