t,x,y,z,dx,dy,dz
11.41,10.02069016116634,9.420029811052567,29.634066042898976,-5.993375779142429,-25.724702986426262,15.34118850856867
11.42,9.950876605348485,9.15686816868668,29.76970525455457,-7.921386497216876,-26.695748189891688,11.71519827634544
11.43,9.862262431222003,8.886114847254733,29.868370008425885,-9.737794758247098,-27.241916737277183,7.98238782224594
11.44,9.756120710183543,8.612029833941136,29.92935301099949,-11.412881280897658,-27.367142817627155,4.214001713810411
11.450000000000001,9.63400480560405,8.33877199090219,29.952650042702093,-12.920707691428923,-27.087122964628474,0.4781495857921314
11.46,9.497706556354965,8.070287374648567,29.93891600271533,-14.239809974206707,-26.427864026396897,-3.162494666183413
11.47,9.349208606119916,7.810214710374252,29.889400149378424,-15.353664942129885,-25.423786268308522,-6.652501874610728
11.48,9.190633257512367,7.561811649282396,29.805865965223116,-16.250917170936496,-24.11555309325819,-9.94493126623368
11.49,9.024190262701186,7.327903648509088,29.69050152405375,-16.92537173896298,-22.54780353641581,-13.001991462144424
11.5,8.852125822733107,7.11085557855408,29.545826135980228,-17.375773836387687,-20.766949961197767,-15.795152081070363
11.51,8.676674785973432,6.912564649285133,29.374598482432344,-17.605408504700826,-18.819175547347378,-18.30477899813001
11.52,8.500017652639091,6.734472067607133,29.179730556017628,-17.621561693971177,-16.748729763861324,-20.519392367997114
11.53,8.324243552094009,6.577590054007906,28.9642106350724,-17.434887351968342,-14.5965807452483,-22.434658361806292
11.540000000000001,8.151319905599724,6.442540452702167,28.731037388781502,-17.058724777392207,-12.399446262850367,-24.0522246967247
11.55,7.983069056546165,6.329601128750899,28.483166141137907,-16.508406741335822,-10.189193395593366,-25.378499287591616
11.56,7.821151770773008,6.238756584790299,28.22346740302967,-15.800592863647545,-7.992573108790468,-26.423454145365
11.57,7.667057199273214,6.16974966657509,27.954697058230607,-14.952655414083615,-5.831240363095347,-27.19951636202609
11.58,7.522098662491335,6.122131777528392,27.679477075789148,-13.982136988700233,-3.7220025664725487,-27.720587521215023
