t,x,y,u,v,dx,dy,du,dv
4.25,-1.9820381742362654,-0.591267692242963,-0.06305257386111322,-0.6092587497023424,-0.5913927862396196,6.811317794684057,-0.6092813931365116,0.02624739736457049
4.26,-1.9876115223795785,-0.5235297349812349,-0.069144092146072,-0.6090642198144932,-0.5236600563215732,6.7347053065475695,-0.609080245064949,0.014643890711185659
4.2700000000000005,-1.9925113753626968,-0.45657358611201165,-0.0752341787624122,-0.6089658718881187,-0.45670853670257694,6.655135522976652,-0.6089754311848896,0.006965355354704439
4.28,-1.99674569311363,-0.39042702452170186,-0.0813236007697698,-0.6089249127073991,-0.390566023189054,6.572962184391864,-0.6089281708113015,0.003116731846225518
4.29,-2.000322695826478,-0.32511434242417436,-0.08741274217863823,-0.6089035372511942,-0.3252568267561817,6.488528332398338,-0.6089006696009216,0.00299599646249038
4.3,-2.0032508296487537,-0.2606564578737351,-0.09350161416178823,-0.6088649927781493,-0.26080188578530006,6.402165287444726,-0.6088561837255285,0.006495246318727332
4.3100000000000005,-2.005538733542184,-0.19707103667527984,-0.0995898658531488,-0.6087736323248196,-0.19721888770913854,6.314191788681506,-0.6087590734667538,0.013501729127518569
4.32,-2.0071952074029364,-0.13437262210010498,-0.10567679563112331,-0.608594958195599,-0.1345223984743793,6.224913289288598,-0.6085748468084927,0.02389881320709053
4.33,-2.0082291815116715,-0.07257277088950786,-0.11176136278931866,-0.6082956560606778,-0.07272399830600129,6.134621399397004,-0.6082701936418293,0.037566894594587286
4.34,-2.0086496873690565,-0.011680194112164907,-0.1178421995039599,-0.6078436203037072,-0.011832422340884996,6.043593467878414,-0.6078130112223961,0.054384239229737785
4.3500000000000005,-2.008465829958489,0.04829909846806041,-0.12391762301376658,-0.6072079712760831,0.04814629521212588,5.952092293620626,-0.6071724215350315,0.07422775918442537
4.36,-2.007686761464814,0.10736165176024762,-0.12998564793466053,-0.6063590651200187,0.10720867463132056,5.860365956429908,-0.6063187812268139,0.09697372283630212
4.37,-2.006321656465863,0.16550641759665857,-0.13604399863830285,-0.605268496819357,0.16535364310659162,5.768647757430707,-0.6052236847659875,0.1224983996776563
4.38,-2.004379688602682,0.22273460690886177,-0.14209012162998028,-0.6039090971264656,0.2225823870721788,5.677156258725891,-0.6038599614739084,0.15067864114195473
4.39,-2.0018700087244192,0.2790495427711764,-0.14812119786778102,-0.6022549239965179,0.27889820538981036,5.5860954121287945,-0.6022016670609948,0.18139239940440088
4.4,-1.998801724494886,0.33445651515143765,-0.15413415497120017,-0.6002812491383775,0.3343063642233801,5.495654766928443,-0.6002240702746422,0.21451918659040614
4.41,-1.9951838814399516,0.38896263810974524,-0.16012567927327387,-0.5979645402647098,0.38881395434523514,5.406009746934628,-0.5979036352416062,0.24994047721987878
4.42,-1.9910254454079812,0.4425767100901302,-0.1660922276760323,-0.59528243959398,0.44242975151967956,5.317321987412729,-0.5952180000567187,0.28754005699861973
4.43,-1.986335286409558,0.4953090778579998,-0.17203003927440824,-0.5922137391247374,0.4951640805161639,5.2297397229573885,-0.5921459521373725,0.32720432127999466
4.44,-1.981122163797658,0.547171504549278,-0.17793514671877975,-0.5887383531683801,0.547028683229922,5.143398217787793,-0.5886674008343736,0.36882252663995585
4.45,-1.9753947127449596,0.5981770422137557,-0.18380338729109572,-0.5848372885919383,0.5980365912681362,5.05842023065991,-0.5847633477409644,0.41228699916092126
4.46,-1.9691614319722952,0.6483399091624762,-0.18963041367359904,-0.5804926131851617,0.6482020033343749,4.974916506915955,-0.5804158551224833,0.45749330291408596
4.47,-1.962430672678272,0.6976753723520748,-0.19541170439354538,-0.5756874225336566,0.6975401676518445,4.892986290842993,-0.5756080128501706,0.5043403721662842
4.48,-1.9552106286192583,0.7461996349793361,-0.20114257393060245,-0.570405805741836,0.7460672695694948,4.812717852266774,-0.5703239041744287,0.5527306108182861
4.49,-1.9475093272868822,0.7939297293974102,-0.20681818247703396,-0.5646328103172908,0.7938003244904901,4.734189021638496,-0.5645485706558109,0.6025699623455061
4.5,-1.9393346221294485,0.840883415412106,-0.21243354534371867,-0.5583544064949258,0.8407570761690741,4.657467728602538,-0.5582679765299872,0.6537679534677543
4.51,-1.9306941857635007,0.887079083969461,-0.2179835420076337,-0.5515574512479358,0.8869559003915506,4.582612539501057,-0.5514689727544555,0.7062377145870657
4.5200000000000005,-1.9215955041216175,0.9325356662021271,-0.22346292479880778,-0.5442296522031845,0.932415714013779,4.5096731898068345,-0.5441392609565401,0.7598959798623073
